,Confirmed,Date,Deceased,Recovered,States/UT,Unnamed: 0,Unnamed: 0.1
0,190,2020-04-06,1,1,Andhra Pradesh,0,0.0
1,10,2020-04-06,0,0,Andaman and Nicobar Islands,1,1.0
2,1,2020-04-06,0,0,Arunachal Pradesh,2,2.0
3,26,2020-04-06,0,0,Assam,3,3.0
4,30,2020-04-06,1,0,Bihar,4,4.0
5,18,2020-04-06,0,0,Chandigarh,5,5.0
6,9,2020-04-06,0,3,Chhattisgarh,6,6.0
7,503,2020-04-06,7,18,Delhi,7,7.0
8,7,2020-04-06,0,0,Goa,8,8.0
9,122,2020-04-06,11,18,Gujarat,9,9.0
10,59,2020-04-06,1,25,Haryana,10,10.0
11,6,2020-04-06,1,1,Himachal Pradesh,11,11.0
12,106,2020-04-06,2,4,Jammu and Kashmir,12,12.0
13,3,2020-04-06,0,0,Jharkhand,13,13.0
14,144,2020-04-06,4,12,Karnataka,14,14.0
15,306,2020-04-06,2,49,Kerala,15,15.0
16,14,2020-04-06,0,10,Ladakh,16,16.0
17,165,2020-04-06,9,0,Madhya Pradesh,17,17.0
18,490,2020-04-06,24,42,Maharashtra,18,18.0
19,2,2020-04-06,0,0,Manipur,19,19.0
20,1,2020-04-06,0,0,Mizoram,20,20.0
21,20,2020-04-06,0,0,Odisha,21,21.0
22,5,2020-04-06,0,1,Puducherry,22,22.0
23,57,2020-04-06,5,1,Punjab,23,23.0
24,200,2020-04-06,0,21,Rajasthan,24,24.0
25,485,2020-04-06,3,6,Tamil Nadu,25,25.0
26,269,2020-04-06,7,32,Telengana,26,26.0
27,22,2020-04-06,0,2,Uttarakhand,27,27.0
28,227,2020-04-06,2,19,Uttar Pradesh,28,28.0
29,80,2020-04-06,3,10,West Bengal,29,29.0
0,266,2020-04-08,3,1,Andhra Pradesh,0,0.0
1,10,2020-04-08,0,0,Andaman and Nicobar Islands,1,1.0
2,1,2020-04-08,0,0,Arunachal Pradesh,2,2.0
3,26,2020-04-08,0,0,Assam,3,3.0
4,32,2020-04-08,1,0,Bihar,4,4.0
5,18,2020-04-08,0,7,Chandigarh,5,5.0
6,10,2020-04-08,0,9,Chhattisgarh,6,6.0
7,576,2020-04-08,7,21,Delhi,7,7.0
8,7,2020-04-08,0,0,Goa,8,8.0
9,165,2020-04-08,13,25,Gujarat,9,9.0
10,90,2020-04-08,1,25,Haryana,10,10.0
