,Unnamed: 0,Sr.No,States/UT,Confirmed,Recovered,Deceased,Date
0,0,1,Andhra Pradesh,190,1,1,2020-04-06
1,1,2,Andaman and Nicobar Islands,10,0,0,2020-04-06
2,2,3,Arunachal Pradesh,1,0,0,2020-04-06
3,3,4,Assam,26,0,0,2020-04-06
4,4,5,Bihar,30,0,1,2020-04-06
5,5,6,Chandigarh,18,0,0,2020-04-06
6,6,7,Chhattisgarh,9,3,0,2020-04-06
7,7,8,Delhi,503,18,7,2020-04-06
8,8,9,Goa,7,0,0,2020-04-06
9,9,10,Gujarat,122,18,11,2020-04-06
10,10,11,Haryana,59,25,1,2020-04-06
11,11,12,Himachal Pradesh,6,1,1,2020-04-06
12,12,13,Jammu and Kashmir,106,4,2,2020-04-06
13,13,14,Jharkhand,3,0,0,2020-04-06
14,14,15,Karnataka,144,12,4,2020-04-06
15,15,16,Kerala,306,49,2,2020-04-06
16,16,17,Ladakh,14,10,0,2020-04-06
17,17,18,Madhya Pradesh,165,0,9,2020-04-06
18,18,19,Maharashtra,490,42,24,2020-04-06
19,19,20,Manipur,2,0,0,2020-04-06
20,20,21,Mizoram,1,0,0,2020-04-06
21,21,22,Odisha,20,0,0,2020-04-06
22,22,23,Puducherry,5,1,0,2020-04-06
23,23,24,Punjab,57,1,5,2020-04-06
24,24,25,Rajasthan,200,21,0,2020-04-06
25,25,26,Tamil Nadu,485,6,3,2020-04-06
26,26,27,Telengana,269,32,7,2020-04-06
27,27,28,Uttarakhand,22,2,0,2020-04-06
28,28,29,Uttar Pradesh,227,19,2,2020-04-06
29,29,30,West Bengal,80,10,3,2020-04-06
