,Sr.No,States/UT,Confirmed,Recovered,Deceased,Date
0,1,Andhra Pradesh,348,6,4,2020-04-10
1,2,Andaman and Nicobar Islands,11,0,0,2020-04-10
2,3,Arunachal Pradesh,1,0,0,2020-04-10
3,4,Assam,28,0,0,2020-04-10
4,5,Bihar,39,0,1,2020-04-10
5,6,Chandigarh,18,7,0,2020-04-10
6,7,Chhattisgarh,10,9,0,2020-04-10
7,8,Delhi,669,21,9,2020-04-10
8,9,Goa,7,0,0,2020-04-10
9,10,Gujarat,179,25,16,2020-04-10
10,11,Haryana,169,29,3,2020-04-10
11,12,Himachal Pradesh,18,2,1,2020-04-10
12,13,Jammu and Kashmir,158,4,4,2020-04-10
13,14,Jharkhand,13,0,0,2020-04-10
14,15,Karnataka,181,28,5,2020-04-10
15,16,Kerala,345,83,2,2020-04-10
16,17,Ladakh,14,10,0,2020-04-10
17,18,Madhya Pradesh,259,0,16,2020-04-10
18,19,Maharashtra,1135,117,72,2020-04-10
19,20,Manipur,2,1,0,2020-04-10
20,21,Mizoram,1,0,0,2020-04-10
21,22,Odisha,42,2,1,2020-04-10
22,23,Puducherry,5,1,0,2020-04-10
23,24,Punjab,101,4,8,2020-04-10
24,25,Rajasthan,383,21,3,2020-04-10
25,26,Tamil Nadu,738,21,8,2020-04-10
26,27,Telengana,442,35,7,2020-04-10
27,28,Tripura,1,0,0,2020-04-10
28,29,Uttarakhand,35,5,0,2020-04-10
29,30,Uttar Pradesh,410,31,4,2020-04-10
30,31,West Bengal,103,16,5,2020-04-10
