,Unnamed: 0,Country,Total Cases,New Cases,Total deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot. Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Date
0,0,World,"1,447,471","+16,552","83,401","+1,367","309,145","1,054,925","47,994",186,10.7,,,2020-04-08
1,1,USA,"400,549",+214,"12,857 ",+16,"21,711","365,981","9,169","1,210",39,"2,082,443","6,291",2020-04-08
2,2,Spain,"146,690","+4,748","14,555 ",+510,"48,021","84,114","7,069","3,137",311,"355,000","7,593",2020-04-08
3,3,Italy,"135,586",,"17,127 ",,"24,392","94,067","3,792","2,243",283,"755,445","12,495",2020-04-08
4,4,France,"109,069",,"10,328 ",,"19,337","79,404","7,131","1,671",158,"224,254","3,436",2020-04-08
5,5,Germany,"107,663",,"2,016 ",,"36,081","69,566","4,895","1,285",24,"918,460","10,962",2020-04-08
6,6,Iran,"64,586","+1,997","3,993 ",+121,"27,039","33,554","3,987",769,48,"211,136","2,514",2020-04-08
7,7,UK,"55,242",,"6,159 ",,135,"48,948","1,559",814,91,"266,694","3,929",2020-04-08
8,8,Turkey,"34,109",,725 ,,"1,582","31,802","1,474",404,9,"222,868","2,643",2020-04-08
9,9,Belgium,"23,403","+1,209","2,240 ",+205,"4,681","16,482","1,276","2,019",193,"80,512","6,947",2020-04-08
10,10,Switzerland,"22,789",+536,858 ,+37,"8,704","13,227",391,"2,633",99,"171,938","19,867",2020-04-08
11,11,Netherlands,"20,549",+969,"2,248 ",+147,250,"18,051","1,424","1,199",131,"86,589","5,053",2020-04-08
12,12,Canada,"17,897",,381 ,,"4,028","13,488",426,474,10,"348,105","9,223",2020-04-08
13,13,Brazil,"14,072",+38,691 ,+5,127,"13,254",296,66,3,"54,824",258,2020-04-08
14,14,Portugal,"13,141",+699,380 ,+35,196,"12,565",245,"1,289",37,"121,256","11,892",2020-04-08
15,15,Austria,"12,824",+185,273 ,+30,"4,512","8,039",267,"1,424",30,"120,755","13,408",2020-04-08
16,16,S. Korea,"10,384",+53,200 ,+8,"6,776","3,408",55,203,4,"477,304","9,310",2020-04-08
17,17,Israel,"9,404",+156,72 ,+7,801,"8,531",147,"1,086",8,"117,339","13,557",2020-04-08
18,18,Russia,"8,672","+1,175",63 ,+5,580,"8,029",8,59,0.4,"910,221","6,237",2020-04-08
19,19,Sweden,"8,419",+726,687 ,+96,205,"7,527",678,834,68,"54,700","5,416",2020-04-08
20,20,Norway,"6,086",,93 ,+4,32,"5,961",78,"1,123",17,"113,896","21,009",2020-04-08
21,21,Australia,"6,013",+25,50 ,+1,"2,813","3,150",87,236,2,"319,368","12,524",2020-04-08
22,22,Ireland,"5,709",,210 ,,25,"5,474",165,"1,156",43,"42,484","8,604",2020-04-08
23,23,India,"5,480",+129,164 ,+4,468,"4,848",,4,0.1,"140,293",102,2020-04-08
24,24,Denmark,"5,386",+315,218 ,+15,"1,621","3,547",127,930,38,"58,419","10,086",2020-04-08
25,25,Chile,"5,116",,43 ,,898,"4,175",337,268,2,"57,122","2,988",2020-04-08
26,26,Czechia,"5,033",+16,91 ,+3,181,"4,761",103,470,8,"98,681","9,215",2020-04-08
27,27,Poland,"5,000",+152,136 ,+7,222,"4,642",160,132,4,"99,284","2,623",2020-04-08
28,28,Romania,"4,761",+344,210 ,+13,528,"4,023",162,247,11,"47,207","2,454",2020-04-08
29,29,Japan,"4,257",,93 ,,622,"3,542",80,34,0.7,"55,311",437,2020-04-08
30,30,Malaysia,"4,119",+156,65 ,+2,"1,487","2,567",76,127,2,"58,240","1,799",2020-04-08
31,31,Pakistan,"4,072",+37,58 ,+1,467,"3,547",25,18,0.3,"42,159",191,2020-04-08
32,32,Ecuador,"3,995",,220 ,,140,"3,635",156,226,12,"14,406",817,2020-04-08
33,33,Philippines,"3,870",+106,182 ,+5,96,"3,592",1,35,2,"24,500",224,2020-04-08
34,34,Luxembourg,"2,970",,44 ,,500,"2,426",35,"4,745",70,"25,702","41,059",2020-04-08
35,35,Indonesia,"2,956",+218,240 ,+19,222,"2,494",,11,0.9,"14,354",52,2020-04-08
36,36,Peru,"2,954",,107 ,,"1,301","1,546",109,90,3,"21,555",654,2020-04-08
37,37,Saudi Arabia,"2,795",,41 ,,615,"2,139",41,80,1,,,2020-04-08
38,38,Mexico,"2,785",+346,141 ,+16,633,"2,011",89,22,1,"25,410",197,2020-04-08
39,39,Finland,"2,487",+179,40 ,+6,300,"2,147",82,449,7,"36,500","6,588",2020-04-08
40,40,Serbia,"2,447",,61 ,,118,"2,268",109,280,7,"9,626","1,102",2020-04-08
41,41,Thailand,"2,369",+111,30 ,+3,888,"1,451",61,34,0.4,"71,860","1,030",2020-04-08
42,42,UAE,"2,359",,12 ,,186,"2,161",1,239,1,"220,000","22,244",2020-04-08
43,43,Panama,"2,249",+149,59 ,+4,16,"2,174",91,521,14,"10,297","2,386",2020-04-08
44,44,Qatar,"2,210",+153,6 ,,178,"2,026",37,767,2,"41,818","14,515",2020-04-08
45,45,Dominican Republic,"1,956",,98 ,,36,"1,822",147,180,9,"4,542",419,2020-04-08
46,46,Greece,"1,832",,81 ,,269,"1,482",90,176,8,"28,584","2,742",2020-04-08
47,47,Colombia,"1,780",,50 ,,100,"1,630",76,35,1.0,"30,445",598,2020-04-08
48,48,South Africa,"1,749",,13 ,,95,"1,641",7,29,0.2,"58,098",980,2020-04-08
49,49,Argentina,"1,715",,60 ,,338,"1,317",96,38,1,"11,778",261,2020-04-08
50,50,Ukraine,"1,668",+206,52 ,+7,35,"1,581",33,38,1,"7,205",165,2020-04-08
51,51,Iceland,"1,586",,6 ,,559,"1,021",11,"4,648",18,"28,991","84,957",2020-04-08
52,52,Singapore,"1,481",,6 ,,377,"1,098",29,253,1,"65,000","11,110",2020-04-08
53,53,Algeria,"1,468",,193 ,,113,"1,162",46,33,4,"3,359",77,2020-04-08
54,54,Egypt,"1,450",,94 ,,276,"1,080",,14,0.9,"25,000",244,2020-04-08
55,55,Croatia,"1,343",+61,19 ,+1,179,"1,145",36,327,5,"13,125","3,197",2020-04-08
56,56,Morocco,"1,242",+58,91 ,+1,97,"1,054",1,34,2,"5,600",152,2020-04-08
57,57,New Zealand,"1,210",+50,1 ,,282,927,4,251,0.2,"46,875","9,721",2020-04-08
58,58,Estonia,"1,185",+36,24 ,+3,72,"1,089",11,893,18,"24,813","18,705",2020-04-08
59,59,Iraq,"1,122",,65 ,,373,684,,28,2,"26,331",655,2020-04-08
60,60,Slovenia,"1,091",+32,40 ,+4,120,931,35,525,19,"30,669","14,752",2020-04-08
61,61,Belarus,"1,066",+205,13 ,,77,976,33,113,1,"46,000","4,868",2020-04-08
62,62,Moldova,"1,056",,24 ,+2,40,992,80,262,6,"5,108","1,266",2020-04-08
63,63,Hong Kong,961,+25,4 ,,264,693,14,128,0.5,"96,709","12,900",2020-04-08
64,64,Lithuania,912,+32,15 ,,8,889,21,335,6,"30,108","11,060",2020-04-08
65,65,Hungary,895,+78,58 ,+11,94,743,17,93,6,"25,748","2,665",2020-04-08
66,66,Armenia,881,+28,9 ,+1,114,758,30,297,3,"5,452","1,840",2020-04-08
67,67,Kuwait,855,+112,1 ,,111,743,21,200,0.2,,,2020-04-08
68,68,Bahrain,811,,5 ,,465,341,3,477,3,"50,320","29,573",2020-04-08
69,69,Bosnia and Herzegovina,794,+30,33 ,,77,684,4,242,10,"6,911","2,106",2020-04-08
70,70,Azerbaijan,717,,8 ,,44,665,23,71,0.8,"53,300","5,257",2020-04-08
71,71,Diamond Princess,712,,11 ,,619,82,10,,,,,2020-04-08
72,72,Kazakhstan,709,+12,7 ,+1,54,648,21,38,0.4,"56,775","3,024",2020-04-08
73,73,Cameroon,685,,9 ,,60,616,,26,0.3,,,2020-04-08
74,74,Tunisia,623,,23 ,,25,575,67,53,2,"8,274",700,2020-04-08
75,75,North Macedonia,599,,26 ,,30,543,15,288,12,"5,879","2,822",2020-04-08
76,76,Bulgaria,581,+4,23 ,,42,516,21,84,3,"15,899","2,288",2020-04-08
77,77,Slovakia,581,,2 ,,13,566,3,106,0.4,"17,639","3,231",2020-04-08
78,78,Latvia,577,+29,2 ,,16,559,5,306,1,"24,036","12,743",2020-04-08
79,79,Lebanon,575,+27,19 ,,62,494,29,84,3,"10,808","1,583",2020-04-08
80,80,Andorra,545,,22 ,,39,484,17,"7,054",285,"1,673","21,653",2020-04-08
81,81,Uzbekistan,534,+14,3 ,+1,30,501,8,16,0.09,,,2020-04-08
82,82,Cyprus,494,,9 ,,47,438,13,409,7,"13,017","10,781",2020-04-08
83,83,Costa Rica,483,,2 ,,24,457,14,95,0.4,"5,525","1,085",2020-04-08
84,84,Uruguay,424,,7 ,,150,267,14,122,2,"5,727","1,649",2020-04-08
85,85,Afghanistan,423,,14 ,,18,391,,11,0.4,,,2020-04-08
86,86,Oman,419,+48,2 ,,72,345,3,82,0.4,,,2020-04-08
87,87,Albania,400,+17,22 ,,154,224,7,139,8,"2,989","1,039",2020-04-08
88,88,Cuba,396,,11 ,,27,358,15,35,1.0,"7,054",623,2020-04-08
89,89,Burkina Faso,384,,19 ,,127,238,,18,0.9,,,2020-04-08
90,90,Taiwan,379,+3,5 ,,67,307,,16,0.2,"40,702","1,709",2020-04-08
91,91,Réunion,358,, ,,40,318,4,400,,,,2020-04-08
92,92,Jordan,353,,6 ,,138,209,5,35,0.6,"17,000","1,666",2020-04-08
93,93,Ivory Coast,349,,3 ,,41,305,,13,0.1,,,2020-04-08
94,94,Channel Islands,335,,7 ,,34,294,,"1,927",40,"1,157","6,655",2020-04-08
95,95,Honduras,312,+7,22 ,,6,284,10,32,2,,,2020-04-08
96,96,Malta,299,+6, ,,5,294,4,677,,"10,923","24,738",2020-04-08
97,97,Ghana,287,,5 ,,31,251,2,9,0.2,,,2020-04-08
98,98,San Marino,279,,34 ,,40,205,14,"8,223","1,002",586,"17,270",2020-04-08
99,99,Niger,278,,11 ,,26,241,,11,0.5,"4,199",173,2020-04-08
100,100,Kyrgyzstan,270,+42,4 ,,33,233,5,41,0.6,"9,618","1,474",2020-04-08
101,101,Mauritius,268,,7 ,,8,253,3,211,6,"4,913","3,863",2020-04-08
102,102,Palestine,263,+2,1 ,,44,218,,52,0.2,"15,450","3,029",2020-04-08
103,103,Nigeria,254,,6 ,,44,204,2,1,0.03,"5,000",24,2020-04-08
104,104,Vietnam,251,, ,,126,125,8,3,,"106,399","1,093",2020-04-08
105,105,Montenegro,248,+7,2 ,,4,242,7,395,3,"2,014","3,207",2020-04-08
106,106,Senegal,237,,2 ,,105,130,1,14,0.1,,,2020-04-08
107,107,Bangladesh,218,+54,20 ,+3,33,165,1,1,0.1,"4,289",26,2020-04-08
108,108,Bolivia,210,+16,15 ,+1,2,193,3,18,1,591,51,2020-04-08
109,109,Georgia,208,+12,3 ,,48,157,6,52,0.8,"2,762",692,2020-04-08
110,110,Sri Lanka,188,+3,6 ,,42,140,5,9,0.3,"3,248",152,2020-04-08
111,111,Faeroe Islands,184,, ,,131,53,1,"3,766",,"5,153","105,458",2020-04-08
112,112,DRC,180,,18 ,,9,153,,2,0.2,,,2020-04-08
113,113,Kenya,172,,6 ,,7,159,2,3,0.1,"4,973",92,2020-04-08
114,114,Mayotte,171,,2 ,,22,147,3,627,7,"1,100","4,032",2020-04-08
115,115,Venezuela,166,,7 ,,65,94,6,6,0.2,"1,779",63,2020-04-08
116,116,Isle of Man,158,+8,1 ,,80,77,7,"1,858",12,"1,759","20,686",2020-04-08
117,117,Martinique,152,,4 ,,50,98,20,405,11,,,2020-04-08
118,118,Guinea,144,, ,,5,139,,11,,,,2020-04-08
119,119,Guadeloupe,139,,7 ,,31,101,14,347,17,,,2020-04-08
120,120,Brunei ,135,,1 ,,91,43,3,309,2,"8,845","20,218",2020-04-08
121,121,Djibouti,135,+45, ,,25,110,,137,,"3,106","3,144",2020-04-08
122,122,Paraguay,119,+4,5 ,,15,99,1,17,0.7,"2,039",286,2020-04-08
123,123,Cambodia,117,+2, ,,63,54,1,7,,"5,768",345,2020-04-08
124,124,Gibraltar,113,, ,,60,53,,"3,354",,"1,440","42,741",2020-04-08
125,125,Trinidad and Tobago,107,,8 ,,1,98,,76,6,878,627,2020-04-08
126,126,Rwanda,105,, ,,7,98,,8,,806,62,2020-04-08
127,127,El Salvador,93,+15,5 ,+1,9,79,2,14,0.8,,,2020-04-08
128,128,Madagascar,93,+5, ,,11,82,1,3,,,,2020-04-08
129,129,Guatemala,80,+3,3 ,,17,60,3,4,0.2,"1,134",63,2020-04-08
130,130,Monaco,79,,1 ,,4,74,4,"2,013",25,,,2020-04-08
131,131,Liechtenstein,78,,1 ,,55,22,,"2,046",26,900,"23,605",2020-04-08
132,132,French Guiana,77,, ,,34,43,1,258,,,,2020-04-08
133,133,Aruba,74,, ,,14,60,,693,,954,"8,935",2020-04-08
134,134,Togo,65,,3 ,,23,39,,8,0.4,"1,617",195,2020-04-08
135,135,Barbados,63,,3 ,,6,54,4,219,10,557,"1,938",2020-04-08
136,136,Jamaica,63,,3 ,,9,51,,21,1,540,182,2020-04-08
137,137,Mali,56,,5 ,,12,39,,3,0.2,,,2020-04-08
138,138,Ethiopia,55,+3,2 ,,4,49,1,0.5,0.02,"2,496",22,2020-04-08
139,139,Uganda,52,, ,,,52,,1,,"3,310",72,2020-04-08
140,140,French Polynesia,47,, ,,,47,,167,,694,"2,471",2020-04-08
141,141,Congo,45,,5 ,,2,38,,8,0.9,,,2020-04-08
142,142,Cayman Islands,45,,1 ,,6,38,,685,15,479,"7,288",2020-04-08
143,143,Macao,45,+1, ,,10,35,1,69,,,,2020-04-08
144,144,Sint Maarten,40,,6 ,,1,33,2,933,140,112,"2,612",2020-04-08
145,145,Bermuda,39,,2 ,,17,20,,626,32,306,"4,913",2020-04-08
146,146,Zambia,39,,1 ,,7,31,,2,0.05,619,34,2020-04-08
147,147,Bahamas,36,+3,6 ,,5,25,1,92,15,,,2020-04-08
148,148,Guyana,33,,5 ,,8,20,4,42,6,132,168,2020-04-08
149,149,Guinea-Bissau,33,, ,,,33,,17,,,,2020-04-08
150,150,Saint Martin,32,,2 ,,7,23,6,828,52,,,2020-04-08
151,151,Eritrea,31,, ,,,31,,9,,,,2020-04-08
152,152,Gabon,30,,1 ,,1,28,,13,0.4,,,2020-04-08
153,153,Benin,26,,1 ,,5,20,,2,0.08,,,2020-04-08
154,154,Haiti,25,,1 ,,,24,,2,0.09,257,23,2020-04-08
155,155,Tanzania,24,,1 ,,5,18,,0.4,0.02,,,2020-04-08
156,156,Myanmar,22,,3 ,+2,,19,,0.4,0.06,"1,246",23,2020-04-08
157,157,Libya,21,+1,1 ,,2,18,,3,0.1,355,52,2020-04-08
158,158,Antigua and Barbuda,19,,2 ,+1,,17,1,194,20,40,408,2020-04-08
159,159,Syria,19,,2 ,,3,14,,1,0.1,,,2020-04-08
160,160,Maldives,19,, ,,13,6,,35,,,,2020-04-08
161,161,New Caledonia,18,, ,,1,17,,63,,"2,320","8,126",2020-04-08
162,162,Angola,17,,2 ,,2,13,,0.5,0.06,,,2020-04-08
163,163,Equatorial Guinea,16,, ,,3,13,,11,,854,609,2020-04-08
164,164,Mongolia,16,+1, ,,4,12,,5,,,,2020-04-08
165,165,Namibia,16,, ,,3,13,,6,,362,142,2020-04-08
166,166,Dominica,15,, ,,1,14,,208,,293,"4,070",2020-04-08
167,167,Fiji,15,, ,,,15,,17,,,,2020-04-08
168,168,Laos,15,+1, ,,,15,,2,,781,107,2020-04-08
169,169,Liberia,14,,3 ,,3,8,,3,0.6,,,2020-04-08
170,170,Sudan,14,,2 ,,2,10,,0.3,0.05,,,2020-04-08
171,171,Saint Lucia,14,, ,,1,13,,76,,,,2020-04-08
172,172,Curaçao,13,,1 ,,7,5,,79,6,,,2020-04-08
173,173,Grenada,12,, ,,,12,2,107,,45,400,2020-04-08
174,174,Zimbabwe,11,,2 ,,,9,,0.7,0.1,371,25,2020-04-08
175,175,Greenland,11,, ,,10,1,,194,,752,"13,246",2020-04-08
176,176,Saint Kitts and Nevis,11,, ,,,11,,207,,183,"3,440",2020-04-08
177,177,Seychelles,11,, ,,,11,,112,,,,2020-04-08
178,178,Suriname,10,,1 ,,3,6,,17,2,,,2020-04-08
179,179,Chad,10,, ,,2,8,,0.6,,,,2020-04-08
180,180,Mozambique,10,, ,,1,9,,0.3,,424,14,2020-04-08
181,181,Eswatini,10,, ,,4,6,,9,,,,2020-04-08
182,182,MS Zaandam,9,,2 ,,,7,,,,,,2020-04-08
183,183,Nepal,9,, ,,1,8,,0.3,,"2,122",73,2020-04-08
184,184,Montserrat,9,, ,,,9,1,"1,803",,36,"7,212",2020-04-08
185,185,Malawi,8,,1 ,,,7,1,0.4,0.05,,,2020-04-08
186,186,Turks and Caicos,8,,1 ,,,7,,207,26,61,"1,576",2020-04-08
187,187,CAR,8,, ,,,8,,2,,,,2020-04-08
188,188,St. Vincent Grenadines,8,, ,,1,7,,72,,56,505,2020-04-08
